Sl,Emp.Code,Name,1 M,2 T,3 W,4 Th,5 F,6 St,7 S,8 M,9 T,10,11,12 F,13,14 S,15,16 T,17,18,19 F,20,21 S,22,23 T,24,25,26 F,27,28 S,29,30 T,31,P,A,L,H,HP,WO,WOP
1,149,SUMIT KUMAR,H,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,P,A,WO,A,A,A,A,A,A,WO,A,A,A,1,25,0,1,0,4,0
2,150,SWETA KUMARI,H,P,P,P,A,P,WO,A,A,A,A,A,A,WO,A,A,A,P,P,½P,WO,P,P,½P,P,A,P,WO,A,P,A,12,14,0,1,0,4,0
3,151,SWETA Sinha,H,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,0,26,0,1,0,4,0
4,152,ANAND KUMAR,H,½P,½P,P,A,P,WO½,½P,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,4,22.5,0,1,0,4,0.5
5,153,SAURAV RAJ,H,A,½P,P,A,P,WO,A,A,A,A,A,A,WO,A,A,A,A,A,A,WO,P,A,A,A,A,A,WO,A,P,A,4.5,21.5,0,1,0,4,0
6,154,VICKY KUMAR,H,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,P,A,WO,A,A,A,A,A,A,WO,A,A,A,1,25,0,1,0,4,0
7,155,SAURAV KUMAR,H,P,P,P,A,P,WO,A,A,A,A,A,A,WO,A,A,A,P,P,½P,WO,P,P,½P,P,A,P,WO,A,P,A,12,14,0,1,0,4,0
8,156,JAYA KUMARI,H,A,A,A,A,A,WO,P,A,A,A,A,A,WO,A,A,A,A,P,P,WO,A,A,A,A,A,A,WO,A,A,A,3,23,0,1,0,4,0
9,157,SHASHI RANJAN,H,½P,½P,P,A,P,WO½,½P,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,4,22.5,0,1,0,4,0.5
10,158,RITIK RAJ,H,½P,½P,P,A,P,WO½,½P,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,4,22.5,0,1,0,4,0.5
11,159,RAKESH KUMAR,H,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,A,A,WO,P,P,A,A,A,A,WO,A,A,A,2,24,0,1,0,4,0
12,160,SUMIT KUMAR,H,A,A,A,A,A,WOP,A,A,½P,A,P,A,WO,½P,A,A,P,P,A,WO,A,A,A,A,A,A,WO,A,A,A,5,22,0,1,0,4,1
13,161,SWETA KUMARI,H,P,P,P,A,P,WO,A,A,A,A,A,A,WO,A,A,A,P,P,½P,WO,P,P,½P,P,A,P,WO,A,P,A,12,14,0,1,0,4,0
14,162,SWETA Sinha,H,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,A,A,WO,P,P,A,A,A,A,WO,A,A,A,2,24,0,1,0,4,0
15,163,ANAND KUMAR,H,A,A,A,A,A,WOP,A,A,½P,A,P,A,WO,½P,A,A,P,P,A,WO,A,A,A,A,A,A,WO,A,A,A,5,22,0,1,0,4,1
16,164,SAURAV RAJ,H,P,P,P,A,P,WO,A,A,A,A,A,A,WO,A,A,A,P,P,½P,WO,P,P,½P,P,A,P,WO,A,P,A,12,14,0,1,0,4,0
17,165,VICKY KUMAR,H,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,0,26,0,1,0,4,0
18,166,SAURAV KUMAR,H,P,P,P,A,P,WO,A,A,A,A,A,A,WO,A,A,A,P,P,½P,WO,P,P,½P,P,A,P,WO,A,P,A,12,14,0,1,0,4,0
19,167,JAYA KUMARI,H,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,0,26,0,1,0,4,0
20,169,SHASHI RANJAN,H,½P,½P,P,A,P,WO½,½P,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,4,22.5,0,1,0,4,0.5
21,170,RITIK RAJ,H,½P,½P,P,A,P,WO½,½P,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,4,22.5,0,1,0,4,0.5
22,171,RAKESH KUMAR,H,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,A,A,WO,P,P,A,A,A,A,WO,A,A,A,2,24,0,1,0,4,0
23,172,SUMIT KUMAR,H,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,A,A,WO,P,P,A,A,A,A,WO,A,A,A,2,24,0,1,0,4,0
24,173,SWETA KUMARI,H,A,A,A,A,A,WOP,A,A,½P,A,P,A,WO,½P,A,A,P,P,A,WO,A,A,A,A,A,A,WO,A,A,A,5,22,0,1,0,4,1
25,174,SWETA Sinha,H,P,P,P,A,P,WO,A,A,A,A,A,A,WO,A,A,A,P,P,½P,WO,P,P,½P,P,A,P,WO,A,P,A,12,14,0,1,0,4,0
26,175,ANAND KUMAR,H,A,A,A,A,A,WOP,A,A,½P,A,P,A,WO,½P,A,A,P,P,A,WO,A,A,A,A,A,A,WO,A,A,A,5,22,0,1,0,4,1
27,176,SAURAV RAJ,H,½P,½P,P,A,P,WO½,½P,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,4,22.5,0,1,0,4,0.5
28,179,VICKY KUMAR,H,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,A,A,WO,P,P,A,A,A,A,WO,A,A,A,2,24,0,1,0,4,0
29,180,SAURAV KUMAR,H,½P,½P,P,A,P,WO½,½P,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,4,22.5,0,1,0,4,0.5
30,181,JAYA KUMARI,H,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,0,26,0,1,0,4,0
31,182,SHASHI RANJAN,H,½P,½P,P,A,P,WO½,½P,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,4,22.5,0,1,0,4,0.5
32,183,RITIK RAJ,H,A,A,A,A,A,WO,A,A,A,A,A,A,WO,A,A,A,A,A,A,WO,P,P,A,A,A,A,WO,A,A,A,2,24,0,1,0,4,0
