EmpCode,name,registrationNumber,rollNumber,batch,branch,email
149,SUMIT KUMAR,19105124001,19CSE01,2019,CSE,asingh88029@gmail.com
150,SWETA KUMARI,19105124002,19CSE02,2019,CSE,swatipriya87899@gmail.com
151,SWETA Sinha,19110124001,19EEE03,2019,EEE,ssinha123@gmail.com
152,ANAND KUMAR,19110124002,19EEE04,2019,EEE,anand123@gmail.com
153,SAURAV RAJ,19101124001,19CE05,2019,CE,sauravRj123@gmail.com
154,VICKY KUMAR,19101124002,19CE06,2019,CE,vcky123@gmail.com
155,SAURAV KUMAR,19102124001,19ME07,2019,ME,srv123@gmail.com
156,JAYA KUMARI,19102124002,19ME08,2019,ME,jaya123@gmail.com
157,SHASHI RANJAN,20105124001,20CSE01,2020,CSE,shashiRanjan123@gmail.com
158,RITIK RAJ,20105124002,20CSE02,2020,CSE,ritik123@gmail.com
159,RAKESH KUMAR,20110124001,20EEE03,2020,EEE,rakesh123@gmail.com
160,SUMIT KUMAR,20110124002,20EEE04,2020,EEE,sumitkr123@gmail.com
161,SWETA KUMARI,20101124001,20CE05,2020,CE,sweta123@gmail.com
162,SWETA Sinha,20101124002,20CE06,2020,CE,ssinha123@gmail.com
163,ANAND KUMAR,20102124001,20ME07,2020,ME,anand123@gmail.com
164,SAURAV RAJ,20102124002,20ME08,2020,ME,sauravRj123@gmail.com
165,VICKY KUMAR,21105124001,21CSE01,2021,CSE,vcky123@gmail.com
166,SAURAV KUMAR,21105124002,21CSE02,2021,CSE,srv123@gmail.com
167,JAYA KUMARI,21110124001,21EEE03,2021,EEE,jaya123@gmail.com
169,SHASHI RANJAN,21110124002,21EEE04,2021,EEE,shashiRanjan123@gmail.com
170,RITIK RAJ,21101124001,21CE05,2021,CE,ritik123@gmail.com
171,RAKESH KUMAR,21101124002,21CE06,2021,CE,rakesh123@gmail.com
172,SUMIT KUMAR,21102124001,21ME07,2021,ME,sumitkr123@gmail.com
173,SWETA KUMARI,21102124002,21ME08,2021,ME,sweta123@gmail.com
174,SWETA Sinha,22105124001,22CSE01,2022,CSE,ssinha123@gmail.com
175,ANAND KUMAR,22105124002,22CSE02,2022,CSE,anand123@gmail.com
176,SAURAV RAJ,22110124001,22EEE03,2022,EEE,sauravRj123@gmail.com
179,VICKY KUMAR,22110124002,22EEE04,2022,EEE,vcky123@gmail.com
180,SAURAV KUMAR,22101124001,22CE05,2022,CE,srv123@gmail.com
181,JAYA KUMARI,22101124002,22CE06,2022,CE,jaya123@gmail.com
182,SHASHI RANJAN,22102124001,22ME07,2022,ME,shashiRanjan123@gmail.com
183,RITIK RAJ,22102124002,22ME08,2022,ME,ritik123@gmail.com
